date,站点,深度_m,u_m_s,v_m_s,流速_m_s
2021-01-03,珠海,0.0,-0.006,-0.02,0.020881
2021-01-03,珠海,2.0,-0.003,-0.003,0.004243
2021-01-03,珠海,4.0,-0.001,0.013000000000000001,0.013038
2021-01-03,珠海,6.0,0.0,0.023,0.023
2021-01-03,珠海,8.0,,,
2021-01-03,珠海,10.0,,,
2021-01-03,珠海,12.0,,,
2021-01-03,珠海,15.0,,,
2021-01-03,珠海,20.0,,,
2021-01-03,珠海,25.0,,,
2021-01-03,珠海,30.0,,,
2021-01-03,珠海,35.0,,,
2021-01-03,珠海,40.0,,,
2021-01-03,珠海,45.0,,,
2021-01-03,珠海,50.0,,,
2021-01-03,珠海,60.0,,,
2021-01-03,珠海,70.0,,,
2021-01-03,珠海,80.0,,,
2021-01-03,珠海,90.0,,,
2021-01-03,珠海,100.0,,,
2021-01-03,珠海,125.0,,,
2021-01-03,珠海,150.0,,,
2021-01-03,珠海,200.0,,,
2021-01-03,珠海,250.0,,,
2021-01-03,珠海,300.0,,,
2021-01-03,珠海,350.0,,,
2021-01-03,珠海,400.0,,,
2021-01-03,珠海,500.0,,,
2021-01-03,珠海,600.0,,,
2021-01-03,珠海,700.0,,,
2021-01-03,珠海,800.0,,,
2021-01-03,珠海,900.0,,,
2021-01-03,珠海,1000.0,,,
2021-01-03,珠海,1250.0,,,
2021-01-03,珠海,1500.0,,,
2021-01-03,珠海,2000.0,,,
2021-01-03,珠海,2500.0,,,
2021-01-03,珠海,3000.0,,,
2021-01-03,珠海,4000.0,,,
2021-01-03,珠海,5000.0,,,
2021-01-02,珠海,0.0,-0.003,0.047,0.047096
2021-01-02,珠海,2.0,0.0,0.069,0.069
2021-01-02,珠海,4.0,0.001,0.08700000000000001,0.087006
2021-01-02,珠海,6.0,0.0,0.094,0.094
2021-01-02,珠海,8.0,,,
2021-01-02,珠海,10.0,,,
2021-01-02,珠海,12.0,,,
2021-01-02,珠海,15.0,,,
2021-01-02,珠海,20.0,,,
2021-01-02,珠海,25.0,,,
2021-01-02,珠海,30.0,,,
2021-01-02,珠海,35.0,,,
2021-01-02,珠海,40.0,,,
2021-01-02,珠海,45.0,,,
2021-01-02,珠海,50.0,,,
2021-01-02,珠海,60.0,,,
2021-01-02,珠海,70.0,,,
2021-01-02,珠海,80.0,,,
2021-01-02,珠海,90.0,,,
2021-01-02,珠海,100.0,,,
2021-01-02,珠海,125.0,,,
2021-01-02,珠海,150.0,,,
2021-01-02,珠海,200.0,,,
2021-01-02,珠海,250.0,,,
2021-01-02,珠海,300.0,,,
2021-01-02,珠海,350.0,,,
2021-01-02,珠海,400.0,,,
2021-01-02,珠海,500.0,,,
2021-01-02,珠海,600.0,,,
2021-01-02,珠海,700.0,,,
2021-01-02,珠海,800.0,,,
2021-01-02,珠海,900.0,,,
2021-01-02,珠海,1000.0,,,
2021-01-02,珠海,1250.0,,,
2021-01-02,珠海,1500.0,,,
2021-01-02,珠海,2000.0,,,
2021-01-02,珠海,2500.0,,,
2021-01-02,珠海,3000.0,,,
2021-01-02,珠海,4000.0,,,
2021-01-02,珠海,5000.0,,,
2021-01-05,珠海,0.0,-0.007,-0.092,0.092266
2021-01-05,珠海,2.0,-0.005,-0.065,0.065192
2021-01-05,珠海,4.0,-0.003,-0.044,0.044102
2021-01-05,珠海,6.0,0.0,-0.032,0.032
2021-01-05,珠海,8.0,,,
2021-01-05,珠海,10.0,,,
2021-01-05,珠海,12.0,,,
2021-01-05,珠海,15.0,,,
2021-01-05,珠海,20.0,,,
2021-01-05,珠海,25.0,,,
2021-01-05,珠海,30.0,,,
2021-01-05,珠海,35.0,,,
2021-01-05,珠海,40.0,,,
2021-01-05,珠海,45.0,,,
2021-01-05,珠海,50.0,,,
2021-01-05,珠海,60.0,,,
2021-01-05,珠海,70.0,,,
2021-01-05,珠海,80.0,,,
2021-01-05,珠海,90.0,,,
2021-01-05,珠海,100.0,,,
2021-01-05,珠海,125.0,,,
2021-01-05,珠海,150.0,,,
2021-01-05,珠海,200.0,,,
2021-01-05,珠海,250.0,,,
2021-01-05,珠海,300.0,,,
2021-01-05,珠海,350.0,,,
2021-01-05,珠海,400.0,,,
2021-01-05,珠海,500.0,,,
2021-01-05,珠海,600.0,,,
2021-01-05,珠海,700.0,,,
2021-01-05,珠海,800.0,,,
2021-01-05,珠海,900.0,,,
2021-01-05,珠海,1000.0,,,
2021-01-05,珠海,1250.0,,,
2021-01-05,珠海,1500.0,,,
2021-01-05,珠海,2000.0,,,
2021-01-05,珠海,2500.0,,,
2021-01-05,珠海,3000.0,,,
2021-01-05,珠海,4000.0,,,
2021-01-05,珠海,5000.0,,,
2021-01-01,珠海,0.0,-0.013000000000000001,-0.019,0.023022
2021-01-01,珠海,2.0,-0.009000000000000001,0.024,0.025632
2021-01-01,珠海,4.0,-0.007,0.052000000000000005,0.052469
2021-01-01,珠海,6.0,0.0,0.068,0.068
2021-01-01,珠海,8.0,,,
2021-01-01,珠海,10.0,,,
2021-01-01,珠海,12.0,,,
2021-01-01,珠海,15.0,,,
2021-01-01,珠海,20.0,,,
2021-01-01,珠海,25.0,,,
2021-01-01,珠海,30.0,,,
2021-01-01,珠海,35.0,,,
2021-01-01,珠海,40.0,,,
2021-01-01,珠海,45.0,,,
2021-01-01,珠海,50.0,,,
2021-01-01,珠海,60.0,,,
2021-01-01,珠海,70.0,,,
2021-01-01,珠海,80.0,,,
2021-01-01,珠海,90.0,,,
2021-01-01,珠海,100.0,,,
2021-01-01,珠海,125.0,,,
2021-01-01,珠海,150.0,,,
2021-01-01,珠海,200.0,,,
2021-01-01,珠海,250.0,,,
2021-01-01,珠海,300.0,,,
2021-01-01,珠海,350.0,,,
2021-01-01,珠海,400.0,,,
2021-01-01,珠海,500.0,,,
2021-01-01,珠海,600.0,,,
2021-01-01,珠海,700.0,,,
2021-01-01,珠海,800.0,,,
2021-01-01,珠海,900.0,,,
2021-01-01,珠海,1000.0,,,
2021-01-01,珠海,1250.0,,,
2021-01-01,珠海,1500.0,,,
2021-01-01,珠海,2000.0,,,
2021-01-01,珠海,2500.0,,,
2021-01-01,珠海,3000.0,,,
2021-01-01,珠海,4000.0,,,
2021-01-01,珠海,5000.0,,,
2021-01-07,珠海,0.0,-0.017,-0.095,0.096509
2021-01-07,珠海,2.0,-0.01,-0.041,0.042202
2021-01-07,珠海,4.0,-0.006,-0.009000000000000001,0.010817
2021-01-07,珠海,6.0,0.0,0.011,0.011
2021-01-07,珠海,8.0,,,
2021-01-07,珠海,10.0,,,
2021-01-07,珠海,12.0,,,
2021-01-07,珠海,15.0,,,
2021-01-07,珠海,20.0,,,
2021-01-07,珠海,25.0,,,
2021-01-07,珠海,30.0,,,
2021-01-07,珠海,35.0,,,
2021-01-07,珠海,40.0,,,
2021-01-07,珠海,45.0,,,
2021-01-07,珠海,50.0,,,
2021-01-07,珠海,60.0,,,
2021-01-07,珠海,70.0,,,
2021-01-07,珠海,80.0,,,
2021-01-07,珠海,90.0,,,
2021-01-07,珠海,100.0,,,
2021-01-07,珠海,125.0,,,
2021-01-07,珠海,150.0,,,
2021-01-07,珠海,200.0,,,
2021-01-07,珠海,250.0,,,
2021-01-07,珠海,300.0,,,
2021-01-07,珠海,350.0,,,
2021-01-07,珠海,400.0,,,
2021-01-07,珠海,500.0,,,
2021-01-07,珠海,600.0,,,
2021-01-07,珠海,700.0,,,
2021-01-07,珠海,800.0,,,
2021-01-07,珠海,900.0,,,
2021-01-07,珠海,1000.0,,,
2021-01-07,珠海,1250.0,,,
2021-01-07,珠海,1500.0,,,
2021-01-07,珠海,2000.0,,,
2021-01-07,珠海,2500.0,,,
2021-01-07,珠海,3000.0,,,
2021-01-07,珠海,4000.0,,,
2021-01-07,珠海,5000.0,,,
2021-01-04,珠海,0.0,-0.006,0.039,0.039459
2021-01-04,珠海,2.0,-0.004,0.059000000000000004,0.059135
2021-01-04,珠海,4.0,-0.003,0.076,0.076059
2021-01-04,珠海,6.0,0.0,0.082,0.082
2021-01-04,珠海,8.0,,,
2021-01-04,珠海,10.0,,,
2021-01-04,珠海,12.0,,,
2021-01-04,珠海,15.0,,,
2021-01-04,珠海,20.0,,,
2021-01-04,珠海,25.0,,,
2021-01-04,珠海,30.0,,,
2021-01-04,珠海,35.0,,,
2021-01-04,珠海,40.0,,,
2021-01-04,珠海,45.0,,,
2021-01-04,珠海,50.0,,,
2021-01-04,珠海,60.0,,,
2021-01-04,珠海,70.0,,,
2021-01-04,珠海,80.0,,,
2021-01-04,珠海,90.0,,,
2021-01-04,珠海,100.0,,,
2021-01-04,珠海,125.0,,,
2021-01-04,珠海,150.0,,,
2021-01-04,珠海,200.0,,,
2021-01-04,珠海,250.0,,,
2021-01-04,珠海,300.0,,,
2021-01-04,珠海,350.0,,,
2021-01-04,珠海,400.0,,,
2021-01-04,珠海,500.0,,,
2021-01-04,珠海,600.0,,,
2021-01-04,珠海,700.0,,,
2021-01-04,珠海,800.0,,,
2021-01-04,珠海,900.0,,,
2021-01-04,珠海,1000.0,,,
2021-01-04,珠海,1250.0,,,
2021-01-04,珠海,1500.0,,,
2021-01-04,珠海,2000.0,,,
2021-01-04,珠海,2500.0,,,
2021-01-04,珠海,3000.0,,,
2021-01-04,珠海,4000.0,,,
2021-01-04,珠海,5000.0,,,
2021-01-08,珠海,0.0,-0.021,0.058,0.061685
2021-01-08,珠海,2.0,-0.013000000000000001,0.129,0.129653
2021-01-08,珠海,4.0,-0.01,0.17200000000000001,0.17229
2021-01-08,珠海,6.0,0.0,0.191,0.191
2021-01-08,珠海,8.0,,,
2021-01-08,珠海,10.0,,,
2021-01-08,珠海,12.0,,,
2021-01-08,珠海,15.0,,,
2021-01-08,珠海,20.0,,,
2021-01-08,珠海,25.0,,,
2021-01-08,珠海,30.0,,,
2021-01-08,珠海,35.0,,,
2021-01-08,珠海,40.0,,,
2021-01-08,珠海,45.0,,,
2021-01-08,珠海,50.0,,,
2021-01-08,珠海,60.0,,,
2021-01-08,珠海,70.0,,,
2021-01-08,珠海,80.0,,,
2021-01-08,珠海,90.0,,,
2021-01-08,珠海,100.0,,,
2021-01-08,珠海,125.0,,,
2021-01-08,珠海,150.0,,,
2021-01-08,珠海,200.0,,,
2021-01-08,珠海,250.0,,,
2021-01-08,珠海,300.0,,,
2021-01-08,珠海,350.0,,,
2021-01-08,珠海,400.0,,,
